DATE,TIME
2016-09-26,23:34:01
2016-09-27,3:06:14
2016-09-27,3:23:58
2016-09-27,3:24:45
2016-09-27,3:25:06
2016-09-27,3:36:15
2016-09-27,3:39:41
2016-09-27,3:46:30
2016-09-27,5:52:51
2016-09-28,1:05:51
2016-09-28,1:13:04
2016-09-28,2:33:50
2016-09-28,11:18:18
2016-09-29,12:59:30
2016-09-29,18:07:59
2016-10-01,21:31:42
2016-10-05,13:47:47
2016-10-05,14:11:30
2016-10-06,17:37:51
2016-10-07,1:35:30
2016-10-07,16:28:48
2016-10-08,3:25:27
2016-10-08,22:43:49
2016-10-16,11:25:33
2016-10-24,1:12:33
2016-10-31,9:43:23
2016-10-31,10:00:54
2016-10-31,10:15:20
2016-10-31,10:41:08
2016-10-31,10:41:51
2016-10-31,17:17:07
2016-10-31,17:26:25
2016-11-23,7:58:35
2016-11-26,8:20:01
2016-11-27,12:40:33
2016-12-01,4:06:08
2016-12-06,1:36:39
2016-12-07,17:50:51
2016-12-16,1:25:53
2016-12-20,20:11:04
2016-12-21,22:01:44
2016-12-24,14:15:34
2016-12-27,10:58:18
2016-12-28,17:57:00
2016-12-31,21:49:31
2016-12-31,21:49:39
2016-12-31,22:41:27
2016-12-31,22:58:13
2016-12-31,23:06:56
2016-12-31,23:25:27
2017-01-01,1:42:35
2017-01-01,2:50:07
2017-01-04,6:48:43
2017-01-06,6:55:09
2017-01-06,6:55:48
2017-01-22,16:13:42
2017-01-23,4:22:52
2017-02-05,8:09:01
2017-02-06,7:47:05
2017-02-10,10:10:33
2017-02-15,6:15:11
2017-02-23,4:49:44
2017-03-01,20:18:39
2017-03-02,7:31:19
2017-03-14,5:06:54
2017-03-14,17:14:06
2017-03-17,21:54:25
2017-03-18,21:17:44
2017-03-22,18:57:33
2017-03-22,18:59:06
2017-03-26,8:25:45
2017-03-27,1:45:55
2017-03-29,16:34:23
2017-04-01,6:40:44
2017-04-07,6:20:48
2017-04-11,7:27:02
2017-04-14,10:38:28
2017-04-14,14:14:35
2017-04-20,14:54:55
2017-04-23,1:47:45
2017-04-23,17:55:55
2017-04-23,18:56:02
2017-04-24,17:41:25
2017-04-29,17:07:00
2017-05-02,5:28:42
2017-05-03,15:44:56
2017-05-06,20:32:32
2017-05-15,18:43:08
2017-05-17,4:42:25
2017-05-17,4:43:29
2017-05-25,14:19:52
2017-05-25,15:22:54
2017-05-25,15:42:52
2017-05-29,19:00:56
2017-05-30,4:14:45
2017-06-01,15:19:15
2017-06-02,8:08:35
2017-06-04,0:06:57
2017-06-07,7:12:34
2017-06-07,7:12:36
2017-06-08,4:30:23
2017-06-08,8:30:40
2017-06-09,2:45:46
2017-06-16,14:14:37
2017-06-18,15:14:12
2017-06-25,13:53:25
2017-07-04,3:21:49
2017-07-04,13:42:10
2017-07-10,17:43:04
2017-07-16,13:27:49
2017-07-18,12:32:37
2017-07-20,19:42:21
2017-07-20,22:30:13
2017-07-24,18:23:39
2017-07-26,19:08:43
2017-07-26,19:43:58
2017-07-28,0:48:49
2017-08-09,20:40:50
2017-08-10,17:14:42
2017-08-14,11:11:02
2017-08-17,14:10:55
2017-08-17,21:13:33
2017-08-22,8:12:34
2017-08-22,19:51:59
2017-08-27,19:46:55
2017-09-13,21:59:43
2017-09-13,22:21:27
2017-09-15,11:12:57
2017-09-16,4:39:26
2017-09-16,9:45:51
2017-09-19,6:20:44
2017-09-19,18:34:13
2017-09-19,18:45:44
2017-09-21,23:10:47
2017-09-25,20:31:23
2017-10-10,17:48:41
2017-10-10,21:28:19
2017-10-17,12:05:41
2017-10-18,10:06:00
2017-10-21,18:33:50
2017-10-24,7:00:52
2017-10-26,20:38:51
2017-10-26,23:18:29
2017-11-03,0:18:20
2017-11-09,3:28:28
2017-11-10,0:23:30
2017-11-10,9:25:12
2017-11-15,22:56:54
2017-11-29,20:41:33
2017-12-05,7:31:45
2017-12-07,0:33:15
2017-12-07,0:38:03
2017-12-07,3:57:38
2017-12-07,10:32:47
2017-12-08,8:44:22
2017-12-09,2:51:25
2017-12-09,20:45:24
2017-12-25,6:42:58
2017-12-30,12:15:25
2018-01-01,1:35:34
2018-01-01,4:18:57
2018-01-07,1:31:11
2018-01-07,19:30:21
2018-01-13,6:26:58
2018-01-14,19:56:12
2018-01-25,10:09:57
2018-01-27,12:47:56
2018-01-30,19:39:05
2018-02-11,9:02:30
2018-02-15,1:47:36
2018-02-15,11:35:24
2018-02-20,10:22:30
2018-02-26,18:44:42
2018-03-07,18:05:00
2018-03-10,22:20:39
2018-03-11,12:45:22
2018-03-16,4:08:02
2018-03-22,22:57:56
2018-03-23,8:49:26
2018-04-02,2:53:55
2018-04-05,0:23:15
2018-04-05,19:29:17
2018-04-09,7:32:00
2018-04-10,13:23:06
2018-04-13,2:47:51
2018-04-13,15:24:46
2018-04-16,16:36:49
2018-04-23,0:46:09
2018-04-25,16:52:08
2018-04-26,1:36:01
2018-05-01,10:26:45
2018-05-01,11:22:22
2018-05-01,11:53:03
2018-05-01,12:53:11
2018-05-08,11:49:34
2018-05-08,11:51:53
2018-05-09,7:13:10
2018-05-13,0:28:57
2018-05-13,0:34:58
2018-05-13,0:35:03
2018-05-13,0:37:11
2018-05-13,0:48:07
2018-05-13,12:05:47
2018-05-13,14:33:24
2018-05-19,19:26:51
2018-05-30,19:22:05
2018-06-05,8:16:57
2018-06-08,20:53:48
2018-06-17,18:34:59
2018-06-20,1:20:32
2018-06-20,8:11:48
2018-06-30,6:44:01
2018-06-30,8:14:15
2018-07-03,22:10:39
2018-07-07,15:37:04
2018-07-10,11:08:37
2018-07-23,13:40:35
2018-07-25,20:17:57
2018-07-25,20:58:47
2018-07-26,18:46:42
2018-07-29,13:54:07
2018-08-04,13:48:49
2018-08-06,11:02:21
2018-08-08,3:40:32
2018-08-09,6:30:02
2018-08-10,2:56:09
2018-08-15,1:24:26
2018-08-17,5:05:37
2018-08-18,16:02:05
2018-08-19,2:01:32
2018-08-20,15:44:55
2018-08-27,19:37:27
2018-08-29,2:33:28
2018-08-29,2:34:17
2018-09-01,12:19:55
2018-09-01,16:50:29
2018-09-07,10:45:39
2018-09-08,5:39:35
2018-09-08,13:24:56
2018-09-12,15:13:09
2018-09-18,1:07:04
2018-09-20,12:44:35
2018-09-28,15:13:57
2018-09-29,2:17:47
2018-09-30,14:41:30
2018-10-01,17:56:20
2018-10-04,17:58:27
2018-10-08,21:25:02
2018-10-12,18:44:17
2018-10-13,23:57:43
2018-10-14,8:01:44
2018-10-17,22:09:19
2018-10-24,21:28:03
2018-10-25,9:41:26
2018-10-27,13:58:18
2018-11-06,6:35:52
2018-11-08,17:16:50
2018-11-09,5:57:06
2018-11-09,14:45:51
2018-11-09,14:58:09
2018-11-15,6:40:26
2018-11-19,20:18:43
2018-11-19,20:25:01
2018-11-19,23:49:15
2018-11-19,23:51:19
2018-11-20,1:37:39
2018-11-29,13:48:53
2018-12-03,22:44:57
2018-12-04,22:06:55
2018-12-05,21:40:17
2018-12-05,22:10:06
2018-12-17,2:52:02
2018-12-20,20:18:23
2018-12-23,18:04:35
2018-12-27,1:15:00
